title,url,designer,imgFilename,tags
AS,amnesiascanner.net/asep/,,amnesiascanner,"[','punk','contemplation',']"
an idea for a website ,are.na/ian-mcdonald/an-idea-for-a-website,,are,"[','share','ideas','poetic',']"
Atlas Tom Hackshaw,atlas.tom.so/,,atlas,"[','images','compilation',']"
Making a Poetic Website,chiaski.github.io/poeticweb/,Chia,chiaski,"[','share','poetic','ideas','sky','learn','class',']"
i love it when you,chiaski.github.io/i-love-it-when-you/,,chiaski1,"[','list','text','contemplation','poetic','slider','black&white',']"
Offline Only,chrisbolin.co/offline/,,chrisbolin,"[','interaction','offline',']"
CLOUDWATCHING,cloudwatching.glitch.me/,,cloudwatching,"[','contemplation','sky','draw',']"
Web Resources - Google Docs,docs.google.com/document/d/18O4Lg5_snE7o1ICkmU2ifgUagSOvy8ZgCw3oP4Y7nwE/edit#,,docs,"[','share','code','workshop',']"
Introduction,eastgate.com/garden/Introduction.html,,eastgate,"[','Non-linear','text','garden',']"
empathi.cc,empathi.cc/,,empathi,"[','interaction','forms','colors',']"
Every Noise at Once,everynoise.com/,,everynoise,"[','music','text','share',']"
Fifteen Words,fifteenwords.com,,fifteenwords,"[','music','text','share',']"
share,forestgreen.online/,,forestgreen,"[','developper','share','colors',']"
garden of blues,gardenblues.net/,,gardenblues,"[','garden
','cooking
','share','recipie','pictograms',']"
Get Well Soon!,getwellsoon.labr.io/,,getwellsoon,"[','people
','book','love','text','list','black&white',']"
Gossip’s Café,gossips.cafe/,,gossips,"[','text','talk','share','cafe',']"
Perpetual Calendar ,haveagood.today/,,haveagood,"[','daily','images','community',']"
HereNow,here-and-now.glitch.me/entered/enter-key.html,,here-and-now,"[','text','emotions','files',']"
MCDONALDIANGREGORYJAMES,ianmcdonald.ca/,,ianmcdonald,"[','contemplation','typography','black&white',']"
manifesto – evergreen,itsevergreen.rip/manifesto,,itsevergreen,"[','music','text','old',']"
leaving website,leaving.live/,,leaving,"[','contemplation','connections','people',']"
digital love languages,lovelanguages.melaniehoff.com/week-4-%e2%98%84%ef%b8%8e-a-digital-garden/,,lovelanguages,"[','share','people','garden','class','pictograms',']"
Notpurple,notpurple.com/,,notpurple,"[','colors',']"
Other Office Home,otheroffice.net/,,otheroffice,"[','cursor','space','images',']"
Pia Chakraverti-Wuerthwein,piacw.com/,,piacw,"[','discover','garden','perspective','home',']"
cascade,raphaelbastide.com/cascade/demos/start.html,Raphael Bastide,raphaelbastide,"[','music','browser','developper','colors',']"
Bell,resounding.website,,resounding,"[','community','emotions','infinite','gradient',']"
Sinds jij dood bent…,sindsjijdoodbent.nl,Moniker,sindsjijdoodbent,"[','gradient','poem','writing',']"
stained.otherti.me,stained.otherti.me/,Raphael Bastide,stained,"[','music','contemplation','video','blur',']"
THE EMOTINOMICON,standard.dev/emotinomicon,,standard,"[','emotions','text','black&white',']"
Strange.Website,strange.website/,,strange,"[','text','old',']"
24,sunday.avanier.studio/24,,sunday,"[','interaction','browser',']"
Wind-poem,taichi.pink/2019-12-16_wind-poem/,,taichi,"[','contemplation','nature','forms','text',']"
Taichi Wi,taichi.pink/,,taichi1,"[','perspective','nature','images',']"
LP–20X20,tdingsun.github.io/lp20x20/index,,tdingsun,"[','friends','music','share',']"
the html review,thehtml.review/,,thehtml,"[','text','share',']"
thesoundof.love,thesoundof.love/,,thesoundof,"[','music','contemplation','text','black&white','video','community',']"
This Person Exists,thispersonexists.net/,,thispersonexists,"[','discover','contemplation','images',']"
secret,tiana.computer/sunday_sites/secret,Tiana Dueck,tiana,"[','interaction','hover','surprise','text','video',']"
i am tiana,tiana.computer/sunday_sites/reflection/,,tiana1,"[','discover','text','list',']"
waiting for june,waitingforjune.com/,,waitingforjune,"[','draw','contemplation','time',']"
Links to useful sites,whatthe.link/,,whatthe,"[','share','people','list','hover',']"
forexample,www.yourworldoftext.com/forexample,,www,"[','text','share','community','black&white',']"
wwwwords,wwwwords.de/,,wwwwords,"[','developper','download','text','files',']"
Your personal cloud,your-personal.cloud/,,your-personal,"[','images','sky','share','send','images',']"
